Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"1/1/2018, Eastern Time",489207
US48,"1/1/2018, Eastern Time",
US48,"1/2/2018, Eastern Time",511796
US48,"1/2/2018, Eastern Time",
US48,"1/3/2018, Eastern Time",499453
US48,"1/3/2018, Eastern Time",
US48,"1/4/2018, Eastern Time",499875
US48,"1/4/2018, Eastern Time",
US48,"1/5/2018, Eastern Time",525841
US48,"1/5/2018, Eastern Time",
US48,"1/6/2018, Eastern Time",516445
US48,"1/6/2018, Eastern Time",
US48,"1/7/2018, Eastern Time",501834
US48,"1/7/2018, Eastern Time",
US48,"1/8/2018, Eastern Time",497422
US48,"1/8/2018, Eastern Time",
US48,"1/9/2018, Eastern Time",468347
US48,"1/9/2018, Eastern Time",
US48,"1/10/2018, Eastern Time",459615
US48,"1/10/2018, Eastern Time",
US48,"1/11/2018, Eastern Time",437296
US48,"1/11/2018, Eastern Time",
US48,"1/12/2018, Eastern Time",423455
US48,"1/12/2018, Eastern Time",
US48,"1/13/2018, Eastern Time",428662
US48,"1/13/2018, Eastern Time",
US48,"1/14/2018, Eastern Time",459524
US48,"1/14/2018, Eastern Time",
US48,"1/15/2018, Eastern Time",489072
US48,"1/15/2018, Eastern Time",
US48,"1/16/2018, Eastern Time",478555
US48,"1/16/2018, Eastern Time",
US48,"1/17/2018, Eastern Time",475211
US48,"1/17/2018, Eastern Time",
US48,"1/18/2018, Eastern Time",484010
US48,"1/18/2018, Eastern Time",
US48,"1/19/2018, Eastern Time",466418
US48,"1/19/2018, Eastern Time",
US48,"1/20/2018, Eastern Time",413712
US48,"1/20/2018, Eastern Time",
US48,"1/21/2018, Eastern Time",399325
US48,"1/21/2018, Eastern Time",
US48,"1/22/2018, Eastern Time",430596
US48,"1/22/2018, Eastern Time",
US48,"1/23/2018, Eastern Time",428773
US48,"1/23/2018, Eastern Time",
US48,"1/24/2018, Eastern Time",444615
US48,"1/24/2018, Eastern Time",
US48,"1/25/2018, Eastern Time",464460
US48,"1/25/2018, Eastern Time",
US48,"1/26/2018, Eastern Time",453354
US48,"1/26/2018, Eastern Time",
US48,"1/27/2018, Eastern Time",408611
US48,"1/27/2018, Eastern Time",
US48,"1/28/2018, Eastern Time",390668
US48,"1/28/2018, Eastern Time",
US48,"1/29/2018, Eastern Time",433949
US48,"1/29/2018, Eastern Time",
US48,"1/30/2018, Eastern Time",460947
US48,"1/30/2018, Eastern Time",
US48,"1/31/2018, Eastern Time",471856
US48,"1/31/2018, Eastern Time",
US48,"2/1/2018, Eastern Time",447088
US48,"2/1/2018, Eastern Time",
US48,"2/2/2018, Eastern Time",467941
US48,"2/2/2018, Eastern Time",
US48,"2/3/2018, Eastern Time",453251
US48,"2/3/2018, Eastern Time",
US48,"2/4/2018, Eastern Time",424322
US48,"2/4/2018, Eastern Time",
US48,"2/5/2018, Eastern Time",452765
US48,"2/5/2018, Eastern Time",
US48,"2/6/2018, Eastern Time",463517
US48,"2/6/2018, Eastern Time",
US48,"2/7/2018, Eastern Time",469649
US48,"2/7/2018, Eastern Time",
US48,"2/8/2018, Eastern Time",464066
US48,"2/8/2018, Eastern Time",
US48,"2/9/2018, Eastern Time",465974
US48,"2/9/2018, Eastern Time",
US48,"2/10/2018, Eastern Time",415065
US48,"2/10/2018, Eastern Time",
US48,"2/11/2018, Eastern Time",402986
US48,"2/11/2018, Eastern Time",
US48,"2/12/2018, Eastern Time",432538
US48,"2/12/2018, Eastern Time",
US48,"2/13/2018, Eastern Time",447028
US48,"2/13/2018, Eastern Time",
US48,"2/14/2018, Eastern Time",429867
US48,"2/14/2018, Eastern Time",
US48,"2/15/2018, Eastern Time",415064
US48,"2/15/2018, Eastern Time",
US48,"2/16/2018, Eastern Time",414144
US48,"2/16/2018, Eastern Time",
US48,"2/17/2018, Eastern Time",409530
US48,"2/17/2018, Eastern Time",
US48,"2/18/2018, Eastern Time",397161
US48,"2/18/2018, Eastern Time",
US48,"2/19/2018, Eastern Time",416183
US48,"2/19/2018, Eastern Time",
US48,"2/20/2018, Eastern Time",403263
US48,"2/20/2018, Eastern Time",
US48,"2/21/2018, Eastern Time",399832
US48,"2/21/2018, Eastern Time",
US48,"2/22/2018, Eastern Time",418103
US48,"2/22/2018, Eastern Time",
US48,"2/23/2018, Eastern Time",427684
US48,"2/23/2018, Eastern Time",
US48,"2/24/2018, Eastern Time",387948
US48,"2/24/2018, Eastern Time",
US48,"2/25/2018, Eastern Time",389533
US48,"2/25/2018, Eastern Time",
US48,"2/26/2018, Eastern Time",413707
US48,"2/26/2018, Eastern Time",
US48,"2/27/2018, Eastern Time",408815
US48,"2/27/2018, Eastern Time",
US48,"2/28/2018, Eastern Time",400481
US48,"2/28/2018, Eastern Time",
US48,"3/1/2018, Eastern Time",402256
US48,"3/1/2018, Eastern Time",
US48,"3/2/2018, Eastern Time",423498
US48,"3/2/2018, Eastern Time",
US48,"3/3/2018, Eastern Time",392262
US48,"3/3/2018, Eastern Time",
US48,"3/4/2018, Eastern Time",390071
US48,"3/4/2018, Eastern Time",
US48,"3/5/2018, Eastern Time",430442
US48,"3/5/2018, Eastern Time",
US48,"3/6/2018, Eastern Time",420197
US48,"3/6/2018, Eastern Time",
US48,"3/7/2018, Eastern Time",436413
US48,"3/7/2018, Eastern Time",
US48,"3/8/2018, Eastern Time",432789
US48,"3/8/2018, Eastern Time",
US48,"3/9/2018, Eastern Time",432604
US48,"3/9/2018, Eastern Time",
US48,"3/10/2018, Eastern Time",406212
US48,"3/10/2018, Eastern Time",
US48,"3/11/2018, Eastern Time",375177
US48,"3/11/2018, Eastern Time",
US48,"3/12/2018, Eastern Time",427902
US48,"3/12/2018, Eastern Time",
US48,"3/13/2018, Eastern Time",437159
US48,"3/13/2018, Eastern Time",
US48,"3/14/2018, Eastern Time",436378
US48,"3/14/2018, Eastern Time",
US48,"3/15/2018, Eastern Time",429507
US48,"3/15/2018, Eastern Time",
US48,"3/16/2018, Eastern Time",431069
US48,"3/16/2018, Eastern Time",
US48,"3/17/2018, Eastern Time",403002
US48,"3/17/2018, Eastern Time",
US48,"3/18/2018, Eastern Time",395329
US48,"3/18/2018, Eastern Time",
US48,"3/19/2018, Eastern Time",424004
US48,"3/19/2018, Eastern Time",
US48,"3/20/2018, Eastern Time",437909
US48,"3/20/2018, Eastern Time",
US48,"3/21/2018, Eastern Time",441071
US48,"3/21/2018, Eastern Time",
US48,"3/22/2018, Eastern Time",426749
US48,"3/22/2018, Eastern Time",
US48,"3/23/2018, Eastern Time",417312
US48,"3/23/2018, Eastern Time",
US48,"3/24/2018, Eastern Time",386286
US48,"3/24/2018, Eastern Time",
US48,"3/25/2018, Eastern Time",387996
US48,"3/25/2018, Eastern Time",
US48,"3/26/2018, Eastern Time",413809
US48,"3/26/2018, Eastern Time",
US48,"3/27/2018, Eastern Time",420906
US48,"3/27/2018, Eastern Time",
US48,"3/28/2018, Eastern Time",412660
US48,"3/28/2018, Eastern Time",
US48,"3/29/2018, Eastern Time",407913
US48,"3/29/2018, Eastern Time",
US48,"3/30/2018, Eastern Time",393169
US48,"3/30/2018, Eastern Time",
US48,"3/31/2018, Eastern Time",367803
US48,"3/31/2018, Eastern Time",
