"Region Code","Timestamp (Hour Ending)","NY Demand (MWh)"
US48,"1/1/2020, Eastern Time",395316
US48,"1/1/2020, Eastern Time",
US48,"1/2/2020, Eastern Time",416985
US48,"1/2/2020, Eastern Time",
US48,"1/3/2020, Eastern Time",411481
US48,"1/3/2020, Eastern Time",
US48,"1/4/2020, Eastern Time",389879
US48,"1/4/2020, Eastern Time",
US48,"1/5/2020, Eastern Time",396540
US48,"1/5/2020, Eastern Time",
US48,"1/6/2020, Eastern Time",432354
US48,"1/6/2020, Eastern Time",
US48,"1/7/2020, Eastern Time",432730
US48,"1/7/2020, Eastern Time",
US48,"1/8/2020, Eastern Time",441775
US48,"1/8/2020, Eastern Time",
US48,"1/9/2020, Eastern Time",457121
US48,"1/9/2020, Eastern Time",
US48,"1/10/2020, Eastern Time",430162
US48,"1/10/2020, Eastern Time",
US48,"1/11/2020, Eastern Time",374525
US48,"1/11/2020, Eastern Time",
US48,"1/12/2020, Eastern Time",366821
US48,"1/12/2020, Eastern Time",
US48,"1/13/2020, Eastern Time",419733
US48,"1/13/2020, Eastern Time",
US48,"1/14/2020, Eastern Time",418257
US48,"1/14/2020, Eastern Time",
US48,"1/15/2020, Eastern Time",408105
US48,"1/15/2020, Eastern Time",
US48,"1/16/2020, Eastern Time",424414
US48,"1/16/2020, Eastern Time",
US48,"1/17/2020, Eastern Time",457882
US48,"1/17/2020, Eastern Time",
US48,"1/18/2020, Eastern Time",449093
US48,"1/18/2020, Eastern Time",
US48,"1/19/2020, Eastern Time",412874
US48,"1/19/2020, Eastern Time",
US48,"1/20/2020, Eastern Time",455573
US48,"1/20/2020, Eastern Time",
US48,"1/21/2020, Eastern Time",466474
US48,"1/21/2020, Eastern Time",
US48,"1/22/2020, Eastern Time",450860
US48,"1/22/2020, Eastern Time",
US48,"1/23/2020, Eastern Time",439472
US48,"1/23/2020, Eastern Time",
US48,"1/24/2020, Eastern Time",419874
US48,"1/24/2020, Eastern Time",
US48,"1/25/2020, Eastern Time",402991
US48,"1/25/2020, Eastern Time",
US48,"1/26/2020, Eastern Time",389926
