Time Stamp,Time Zone,Fuel Category,Gen MWh
11/09/2016 00:05:00,EST,Dual Fuel,2072.0
11/09/2016 00:05:00,EST,Natural Gas,2200.0
11/09/2016 00:05:00,EST,Nuclear,5110.0
11/09/2016 00:05:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:05:00,EST,Other Renewables,250.0
11/09/2016 00:05:00,EST,Wind,247.0
11/09/2016 00:05:00,EST,Hydro,2050.0
11/09/2016 00:10:00,EST,Dual Fuel,2058.0
11/09/2016 00:10:00,EST,Natural Gas,2240.0
11/09/2016 00:10:00,EST,Nuclear,5108.0
11/09/2016 00:10:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:10:00,EST,Other Renewables,248.0
11/09/2016 00:10:00,EST,Wind,241.0
11/09/2016 00:10:00,EST,Hydro,1935.0
11/09/2016 00:15:00,EST,Dual Fuel,2008.0
11/09/2016 00:15:00,EST,Natural Gas,2271.0
11/09/2016 00:15:00,EST,Nuclear,5109.0
11/09/2016 00:15:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:15:00,EST,Other Renewables,251.0
11/09/2016 00:15:00,EST,Wind,235.0
11/09/2016 00:15:00,EST,Hydro,1963.0
11/09/2016 00:20:00,EST,Dual Fuel,1969.0
11/09/2016 00:20:00,EST,Natural Gas,2288.0
11/09/2016 00:20:00,EST,Nuclear,5110.0
11/09/2016 00:20:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:20:00,EST,Other Renewables,252.0
11/09/2016 00:20:00,EST,Wind,225.0
11/09/2016 00:20:00,EST,Hydro,2000.0
11/09/2016 00:25:00,EST,Dual Fuel,1961.0
11/09/2016 00:25:00,EST,Natural Gas,2280.0
11/09/2016 00:25:00,EST,Nuclear,5110.0
11/09/2016 00:25:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:25:00,EST,Other Renewables,247.0
11/09/2016 00:25:00,EST,Wind,217.0
11/09/2016 00:25:00,EST,Hydro,2040.0
11/09/2016 00:30:00,EST,Dual Fuel,1948.0
11/09/2016 00:30:00,EST,Natural Gas,2201.0
11/09/2016 00:30:00,EST,Nuclear,5111.0
11/09/2016 00:30:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:30:00,EST,Other Renewables,251.0
11/09/2016 00:30:00,EST,Wind,207.0
11/09/2016 00:30:00,EST,Hydro,2032.0
11/09/2016 00:35:00,EST,Dual Fuel,1937.0
11/09/2016 00:35:00,EST,Natural Gas,2179.0
11/09/2016 00:35:00,EST,Nuclear,5109.0
11/09/2016 00:35:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:35:00,EST,Other Renewables,252.0
11/09/2016 00:35:00,EST,Wind,186.0
11/09/2016 00:35:00,EST,Hydro,2051.0
11/09/2016 00:40:00,EST,Dual Fuel,1925.0
11/09/2016 00:40:00,EST,Natural Gas,2212.0
11/09/2016 00:40:00,EST,Nuclear,5111.0
11/09/2016 00:40:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:40:00,EST,Other Renewables,250.0
11/09/2016 00:40:00,EST,Wind,182.0
11/09/2016 00:40:00,EST,Hydro,2052.0
11/09/2016 00:45:00,EST,Dual Fuel,1905.0
11/09/2016 00:45:00,EST,Natural Gas,2182.0
11/09/2016 00:45:00,EST,Nuclear,5110.0
11/09/2016 00:45:00,EST,Other Fossil Fuels,0.0
11/09/2016 00:45:00,EST,Other Renewables,250.0
11/09/2016 00:45:00,EST,Wind,172.0
